iter	RMSE
0	71344.75483
1	69134.39675
2	66955.4855
3	64996.55351
4	62888.12053
5	60978.69577
6	59066.44586
7	57453.86403
8	55717.12577
9	54041.52878
10	52597.10743
11	51124.5104
12	49876.96011
13	48532.79953
14	47330.18913
15	46289.95289
16	45207.89166
17	44037.7436
18	42928.69273
19	41953.37526
20	40948.46013
21	39938.29918
22	39045.49449
23	38221.42596
24	37508.56737
25	36740.42799
26	35967.70508
27	35216.24816
28	34505.81371
29	33842.97602
30	33218.33646
31	32614.05512
32	32047.27853
33	31478.48725
34	30904.24905
35	30372.74022
36	29885.16381
37	29553.585
38	29070.91835
39	28692.11028
40	28298.671
41	27857.18626
42	27482.87201
43	27145.98167
44	26776.62962
45	26442.67315
46	26146.55155
47	25823.10811
48	25595.19029
49	25278.92289
50	25010.12692
51	24784.53933
52	24504.97489
53	24373.8881
54	24131.04947
55	23948.96386
56	23770.38408
57	23593.30192
58	23386.57142
59	23249.48841
60	23059.42952
61	22897.95072
62	22705.70575
63	22590.62426
64	22444.77366
65	22257.73908
66	22085.23935
67	21959.37372
68	21814.61194
69	21670.73405
70	21520.99559
71	21434.10449
72	21292.12465
73	21152.18256
74	21058.03527
75	20952.10915
76	20831.34476
77	20710.99483
78	20593.77162
79	20455.72947
80	20357.59118
81	20290.12173
82	20174.90958
83	20059.43837
84	19954.32978
85	19896.22128
86	19784.29734
87	19705.36571
88	19643.48187
89	19562.65008
90	19488.27113
91	19417.17042
92	19357.00866
93	19307.59067
94	19228.78818
95	19212.75569
96	19118.06551
97	19047.31774
98	18963.17934
99	18884.78957
100	18794.78314
101	18736.43448
102	18651.25832
103	18594.47654
104	18515.75082
105	18436.15182
106	18382.09433
107	18322.10465
108	18256.53949
109	18201.98652
110	18150.62961
111	18116.79672
112	18090.23945
113	18050.35669
114	18003.58014
115	17940.89491
116	17914.37716
117	17848.58783
118	17830.15544
119	17801.13335
120	17741.43983
121	17695.65269
122	17654.54608
123	17597.20268
124	17525.68303
125	17477.18596
126	17455.45073
127	17390.34248
128	17367.087
129	17318.08576
130	17292.17111
131	17251.02817
132	17193.84612
133	17133.1887
134	17100.37376
135	17063.90456
136	17008.95608
137	16974.93072
138	16927.84651
139	16891.36717
140	16858.55371
141	16837.97218
142	16816.74201
143	16777.15627
144	16754.12229
145	16717.79383
146	16707.15733
147	16704.39051
148	16680.86212
149	16635.32305
150	16599.35013
151	16555.00642
152	16530.09918
153	16485.0739
154	16448.10632
155	16414.11138
156	16361.86054
157	16343.42801
158	16312.41084
159	16273.38436
160	16251.84885
161	16230.60071
162	16196.01005
163	16166.28787
164	16136.016
165	16102.10344
166	16069.78198
167	16021.07769
168	15996.99549
169	15940.91489
170	15899.14273
171	15853.23941
172	15823.35184
173	15784.6537
174	15760.18573
175	15730.82674
176	15720.41066
177	15709.13102
178	15689.55629
179	15662.31685
180	15613.74593
181	15600.18239
182	15567.09422
183	15532.94222
184	15505.86988
185	15452.37784
186	15414.72149
187	15401.03645
188	15361.1766
189	15329.81032
190	15296.75624
191	15281.40416
192	15256.60593
193	15232.49062
194	15197.4919
195	15169.16804
196	15137.11189
197	15097.45769
198	15080.66679
199	15054.37238
200	15040.99963
201	15030.04137
202	15015.31457
203	14985.08196
204	14940.30919
205	14913.98338
206	14892.32339
207	14859.92477
208	14807.62802
209	14786.1463
210	14755.94497
211	14751.71611
212	14718.58236
213	14688.51194
214	14658.8486
215	14628.34612
216	14624.481
217	14584.63761
218	14570.0236
219	14533.9834
220	14510.78907
221	14468.3303
222	14456.43239
223	14427.38636
224	14404.20774
225	14383.99475
226	14382.97579
227	14382.23055
228	14352.7723
229	14310.54581
230	14280.78561
231	14279.49068
232	14245.96547
233	14215.82981
234	14210.89813
235	14173.63063
236	14152.23347
237	14113.40598
238	14099.11314
239	14080.20045
240	14046.76757
241	14031.01716
242	14003.97186
243	13968.03794
244	13926.87792
245	13917.87372
246	13890.83024
247	13881.67675
248	13861.13769
249	13845.04772
250	13825.37548
251	13808.81698
252	13802.7111
253	13781.63483
254	13780.61541
255	13771.79277
256	13756.79456
257	13754.86431
258	13731.54427
259	13725.20086
260	13702.23813
261	13688.86064
262	13670.43121
263	13669.48214
264	13651.45574
265	13631.36321
266	13608.91948
267	13596.3955
268	13578.37992
269	13574.35384
270	13539.89025
271	13513.04792
