iter	Passed	Remaining
0	69	69929
1	79	39466
2	86	28896
3	95	23669
4	102	20485
5	110	18317
6	117	16730
7	124	15467
8	131	14472
9	138	13742
10	145	13037
11	150	12403
12	156	11903
13	162	11457
14	168	11060
15	175	10780
16	181	10514
17	188	10260
18	194	10033
19	201	9875
20	208	9710
21	215	9559
22	221	9420
23	228	9275
24	235	9169
25	241	9029
26	246	8900
27	253	8802
28	258	8671
29	266	8605
30	271	8495
31	277	8393
32	285	8376
33	292	8308
34	298	8235
35	304	8164
36	311	8118
37	318	8069
38	325	8019
39	331	7962
40	336	7879
41	343	7832
42	349	7780
43	356	7740
44	362	7689
45	368	7647
46	375	7616
47	381	7570
48	388	7543
49	393	7484
50	400	7449
51	408	7443
52	415	7424
53	420	7360
54	426	7324
55	432	7293
56	439	7269
57	446	7244
58	451	7208
59	458	7181
60	464	7156
61	471	7135
62	478	7113
63	484	7086
64	491	7064
65	498	7051
66	504	7024
67	511	7005
68	517	6978
69	524	6962
70	531	6949
71	537	6929
72	544	6909
73	549	6875
74	555	6852
75	561	6830
76	568	6809
77	574	6788
78	580	6769
79	586	6744
80	593	6738
81	601	6732
82	607	6709
83	613	6693
84	619	6671
85	623	6626
86	631	6623
87	638	6618
88	645	6604
89	651	6589
90	658	6575
91	664	6556
92	667	6508
93	672	6485
94	678	6465
95	683	6434
96	689	6422
97	698	6425
98	705	6419
99	710	6398
100	717	6383
101	724	6375
102	729	6353
103	735	6339
104	743	6334
105	748	6316
106	754	6300
107	761	6289
108	767	6270
109	773	6257
110	780	6252
111	787	6240
112	794	6235
113	800	6224
114	808	6220
115	814	6206
116	821	6197
117	827	6183
118	834	6178
119	840	6167
120	846	6150
121	851	6127
122	858	6119
123	864	6105
124	869	6089
125	875	6074
126	882	6067
127	888	6055
128	896	6050
129	901	6035
130	908	6024
131	914	6014
132	921	6007
133	927	5996
134	936	6000
135	943	5993
136	951	5991
137	958	5985
138	964	5973
139	970	5964
140	977	5957
141	984	5949
142	991	5940
143	997	5928
144	1001	5907
145	1007	5893
146	1011	5871
147	1013	5836
148	1018	5817
149	1024	5803
150	1030	5796
151	1037	5785
152	1044	5780
153	1050	5772
154	1056	5762
155	1063	5753
156	1069	5743
157	1076	5736
158	1083	5732
159	1090	5726
160	1097	5720
161	1104	5712
162	1110	5702
163	1114	5683
164	1120	5672
165	1127	5664
166	1134	5658
167	1140	5647
168	1146	5635
169	1152	5625
170	1158	5616
171	1164	5607
172	1170	5597
173	1176	5585
174	1183	5578
175	1188	5565
176	1207	5614
177	1212	5598
178	1218	5590
179	1225	5583
180	1232	5574
181	1238	5565
182	1244	5556
183	1250	5545
184	1257	5540
185	1263	5530
186	1270	5522
187	1277	5518
188	1285	5517
189	1293	5514
190	1302	5515
191	1308	5508
192	1315	5498
193	1321	5492
194	1328	5484
195	1333	5471
196	1340	5464
197	1347	5456
198	1353	5448
199	1360	5440
200	1365	5428
201	1372	5423
202	1380	5420
203	1387	5413
204	1394	5407
205	1401	5401
206	1408	5396
207	1414	5386
208	1421	5379
209	1427	5370
210	1433	5362
211	1440	5353
212	1445	5341
213	1451	5332
214	1458	5325
215	1464	5317
216	1471	5310
217	1477	5301
218	1484	5295
219	1490	5286
220	1497	5278
221	1502	5267
222	1509	5259
223	1516	5254
224	1523	5248
225	1530	5243
226	1538	5238
227	1545	5233
228	1551	5224
229	1557	5215
230	1564	5207
231	1571	5200
232	1577	5193
233	1584	5188
234	1592	5182
235	1598	5173
236	1604	5166
237	1611	5160
238	1618	5154
239	1625	5146
240	1631	5138
241	1637	5129
242	1644	5122
243	1650	5115
244	1656	5104
245	1663	5099
246	1670	5091
247	1677	5085
248	1684	5081
249	1691	5075
250	1698	5069
251	1705	5062
252	1712	5055
253	1718	5046
254	1724	5038
255	1731	5032
256	1739	5029
257	1746	5022
258	1753	5016
259	1760	5009
260	1766	5002
261	1772	4994
262	1779	4986
263	1785	4977
264	1791	4969
265	1799	4965
266	1806	4959
267	1813	4952
268	1820	4946
269	1827	4940
270	1834	4935
271	1841	4928
272	1848	4922
273	1854	4914
274	1861	4907
275	1867	4899
276	1874	4891
277	1880	4885
278	1887	4878
279	1895	4874
280	1901	4864
281	1909	4862
282	1916	4855
283	1922	4847
284	1929	4841
285	1936	4833
286	1942	4824
287	1949	4818
288	1955	4810
289	1962	4803
290	1968	4795
291	1974	4786
292	1980	4778
293	1987	4772
294	1994	4766
295	2002	4761
296	2009	4757
297	2017	4753
298	2024	4745
299	2030	4738
300	2037	4732
301	2044	4725
302	2051	4719
303	2057	4711
304	2064	4705
305	2071	4697
306	2077	4689
307	2083	4682
308	2089	4673
309	2096	4667
310	2103	4659
311	2110	4653
312	2116	4644
313	2122	4637
314	2128	4629
315	2135	4622
316	2142	4617
317	2150	4611
318	2156	4603
319	2163	4596
320	2169	4589
321	2175	4581
322	2182	4575
323	2189	4567
324	2196	4560
325	2203	4556
326	2210	4549
327	2217	4543
328	2224	4536
329	2230	4529
330	2237	4521
331	2244	4516
332	2252	4511
333	2258	4503
334	2265	4496
335	2272	4491
336	2279	4485
337	2286	4477
338	2292	4469
339	2298	4460
340	2304	4454
341	2311	4446
342	2317	4438
343	2324	4431
344	2330	4424
345	2336	4416
346	2342	4407
347	2348	4399
348	2355	4394
349	2362	4388
350	2369	4381
351	2376	4374
352	2382	4366
353	2388	4359
354	2395	4353
355	2402	4346
356	2409	4339
357	2415	4332
358	2421	4324
359	2429	4318
360	2436	4312
361	2442	4304
362	2448	4297
363	2455	4289
364	2461	4282
365	2467	4274
366	2472	4265
367	2480	4260
368	2487	4253
369	2495	4248
370	2503	4243
371	2510	4237
372	2516	4230
373	2523	4223
374	2529	4216
375	2536	4209
376	2543	4202
377	2549	4195
378	2555	4187
379	2562	4181
380	2569	4174
381	2576	4167
382	2582	4160
383	2590	4154
384	2596	4147
385	2603	4140
386	2610	4135
387	2617	4129
388	2624	4122
389	2631	4115
390	2637	4107
391	2644	4101
392	2651	4096
393	2658	4089
394	2665	4081
395	2671	4074
396	2677	4067
397	2683	4059
398	2690	4052
399	2696	4045
400	2703	4039
401	2711	4033
402	2718	4027
403	2724	4019
404	2731	4012
405	2737	4004
406	2743	3997
407	2749	3990
408	2757	3983
409	2763	3976
410	2769	3968
411	2776	3963
412	2784	3957
413	2791	3950
414	2798	3944
415	2804	3937
416	2810	3929
417	2817	3923
418	2824	3916
419	2831	3909
420	2837	3903
421	2844	3896
422	2851	3889
423	2858	3883
424	2864	3876
425	2873	3871
426	2879	3864
427	2885	3856
428	2893	3850
429	2899	3843
430	2906	3837
431	2912	3829
432	2919	3822
433	2926	3816
434	2934	3811
435	2942	3805
436	2947	3797
437	2953	3789
438	2960	3783
439	2967	3776
440	2974	3770
441	2980	3763
442	2987	3756
443	2994	3749
444	3001	3743
445	3007	3735
446	3013	3728
447	3020	3721
448	3026	3714
449	3033	3707
450	3040	3701
451	3046	3693
452	3051	3685
453	3058	3678
454	3064	3670
455	3070	3663
456	3077	3656
457	3084	3649
458	3091	3643
459	3097	3635
460	3103	3628
461	3110	3621
462	3118	3616
463	3124	3609
464	3131	3602
465	3137	3595
466	3143	3588
467	3150	3581
468	3158	3575
469	3163	3567
470	3171	3562
471	3178	3555
472	3184	3547
473	3191	3541
474	3197	3534
475	3203	3526
476	3210	3520
477	3218	3514
478	3224	3507
479	3232	3501
480	3239	3494
481	3245	3487
482	3251	3480
483	3258	3473
484	3265	3467
485	3272	3461
486	3280	3455
487	3286	3448
488	3293	3441
489	3299	3434
490	3306	3427
491	3312	3420
492	3319	3413
493	3325	3406
494	3332	3400
495	3339	3393
496	3346	3387
497	3352	3379
498	3358	3372
499	3365	3365
500	3373	3359
501	3379	3352
502	3387	3346
503	3393	3339
504	3399	3332
505	3406	3326
506	3413	3319
507	3420	3312
508	3426	3305
509	3433	3299
510	3440	3291
511	3446	3284
512	3452	3277
513	3458	3269
514	3463	3262
515	3471	3256
516	3479	3250
517	3486	3243
518	3492	3236
519	3499	3230
520	3506	3224
521	3513	3216
522	3520	3211
523	3527	3204
524	3534	3197
525	3540	3190
